timestamp,market_slug,strategy,side,entry_price,shares,cost,pnl,won,regime,trend_dir,trend_strength,volatility,btc_price_entry,btc_price_exit,btc_chg_1m,btc_chg_5m,market_time_left_sec,conviction_count,conviction_bonus,streak_mult,tod_mult,hour_utc,fill_time_ms,order_type
2026-02-16 16:34:48,btc-updown-15m-1771259400,FLASH,YES,0.2750,81.00,21.88,57.50,1,TRENDING_UP,1,0.851,0.002313,67683.06,67931.08,0.0458,0.1736,-294,3,1.80,1.00,1.00,16,0,market
2026-02-16 16:40:58,btc-updown-15m-1771259400,SQUEEZE,YES,0.0950,365.64,38.41,319.91,1,TRENDING_UP,1,0.851,0.002313,67671.72,67931.08,0.0458,0.1736,-294,3,1.80,1.00,1.00,16,0,market
2026-02-16 16:41:16,btc-updown-15m-1771259400,LATENCY,YES,0.2150,854.58,190.41,647.08,1,TRENDING_UP,1,0.851,0.002313,67737.75,67931.08,0.0458,0.1736,-294,3,1.80,1.20,1.00,16,0,market
2026-02-16 17:13:03,btc-updown-15m-1771261200,SQUEEZE,YES,0.0550,1688.18,92.85,-92.85,0,TRENDING_DOWN,-1,-0.480,0.001646,67787.08,67670.70,0.0319,-0.1062,-255,0,1.00,1.00,1.00,17,0,market
2026-02-16 17:40:40,btc-updown-15m-1771263000,FLASH,NO,0.1350,821.21,112.07,-112.07,0,TRENDING_DOWN,-1,-0.305,0.001418,68021.07,67955.19,-0.0003,-0.0893,-305,2,1.50,1.00,1.00,17,0,market
2026-02-16 17:40:42,btc-updown-15m-1771263000,SQUEEZE,NO,0.1350,582.82,84.05,-84.05,0,TRENDING_DOWN,-1,-0.305,0.001418,68021.07,67955.19,-0.0003,-0.0893,-305,2,1.50,1.00,1.00,17,0,market
2026-02-16 18:21:29,btc-updown-15m-1771265700,FLASH,NO,0.2350,156.10,35.93,117.05,1,FLAT,0,0.051,0.001128,68213.62,68118.06,0.0074,0.0193,-305,2,1.50,1.00,1.00,18,0,market
2026-02-16 18:27:19,btc-updown-15m-1771265700,SQUEEZE,NO,0.1250,283.75,37.85,240.22,1,FLAT,0,0.051,0.001128,68189.81,68118.06,0.0074,0.0193,-305,2,1.50,1.00,1.00,18,0,market
2026-02-16 19:51:14,btc-updown-15m-1771271100,FLASH,YES,0.1250,497.97,69.38,-69.38,0,FLAT,0,-0.043,0.001126,67984.01,67935.07,-0.0117,0.0319,-304,1,1.00,1.00,1.00,19,0,market
2026-02-16 20:53:16,btc-updown-15m-1771274700,FLASH,NO,0.1250,239.43,33.52,-33.52,0,TRENDING_DOWN,-1,-0.209,0.001695,68421.43,68458.86,-0.0000,-0.1184,-307,2,1.50,1.00,1.00,20,0,market
2026-02-16 20:54:41,btc-updown-15m-1771274700,LATENCY,NO,0.0850,0.00,209.59,-209.59,0,TRENDING_DOWN,-1,-0.209,0.001695,68392.00,68458.86,-0.0000,-0.1184,-307,2,1.50,1.00,1.00,20,0,market
2026-02-16 20:54:42,btc-updown-15m-1771274700,FLASH,NO,0.0850,305.71,42.38,-42.38,0,TRENDING_DOWN,-1,-0.209,0.001695,68392.00,68458.86,-0.0000,-0.1184,-307,2,1.50,1.00,1.00,20,0,market
